"county","grade_level","sex","total_overweight","total_obese","total_overweight_or_obese","total_healthy","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis"
"CHAUTAUQUA","ELEMENTARY","MALE",105,105,230,438,5,11,43,4,609,341,333,5,2,135,396
"CHAUTAUQUA","MIDDLE/HIGH","FEMALE",81,81,181,231,4,4,18,5,758,416,392,1,19,122,359
"CHAUTAUQUA","MIDDLE/HIGH","FEMALE",81,81,181,231,6,8,18,1,797,407,444,2,21,122,499
"CHAUTAUQUA","MIDDLE/HIGH","FEMALE",81,81,181,231,10,91,1192,6,781,1068,1093,341,81,265,1397
"CHAUTAUQUA","MIDDLE/HIGH","FEMALE",81,81,181,231,5,6,100,128,761,553,518,10,71,202,639
"CHAUTAUQUA","MIDDLE/HIGH","FEMALE",81,81,181,231,1,3,9,3,414,198,236,5,4,74,254
"CHAUTAUQUA","MIDDLE/HIGH","FEMALE",81,81,181,231,5,11,43,4,609,341,333,5,2,135,396
"CHAUTAUQUA","MIDDLE/HIGH","MALE",72,72,168,239,4,4,18,5,758,416,392,1,19,122,359
"CHAUTAUQUA","MIDDLE/HIGH","MALE",72,72,168,239,6,8,18,1,797,407,444,2,21,122,499
"CHAUTAUQUA","MIDDLE/HIGH","MALE",72,72,168,239,10,91,1192,6,781,1068,1093,341,81,265,1397
"CHAUTAUQUA","MIDDLE/HIGH","MALE",72,72,168,239,5,6,100,128,761,553,518,10,71,202,639
"CHAUTAUQUA","MIDDLE/HIGH","MALE",72,72,168,239,1,3,73,3,441,298,240,16,17,87,260
"CHAUTAUQUA","MIDDLE/HIGH","MALE",72,72,168,239,5,11,43,4,609,341,333,5,2,135,396
"CHEMUNG","ELEMENTARY","FEMALE",140,140,294,333,22,777,203,7,4207,2859,3025,17,668,813,3374
"CHEMUNG","ELEMENTARY","MALE",143,143,284,389,22,777,203,7,4207,2859,3025,17,668,813,3374
"CHEMUNG","MIDDLE/HIGH","FEMALE",98,98,197,234,22,777,203,7,4207,2859,3025,17,668,813,3374
"CHEMUNG","MIDDLE/HIGH","MALE",91,91,188,251,22,777,203,7,4207,2859,3025,17,668,813,3374
"CHENANGO","ELEMENTARY","FEMALE",69,69,152,257,8,10,24,7,904,461,493,3,1,111,503
"CHENANGO","ELEMENTARY","FEMALE",69,69,152,257,3,6,9,7,760,408,387,0,10,155,425
"CHENANGO","ELEMENTARY","FEMALE",69,69,152,257,24,47,53,3,1605,869,895,12,32,265,1021
"CHENANGO","ELEMENTARY","MALE",55,55,129,241,8,10,24,7,904,461,493,3,1,111,503
"CHENANGO","ELEMENTARY","MALE",55,55,129,241,3,6,9,7,760,408,387,0,10,155,425
"CHENANGO","ELEMENTARY","MALE",55,55,129,241,24,47,53,3,1605,869,895,12,32,265,1021
"CHENANGO","MIDDLE/HIGH","FEMALE",54,54,111,147,8,10,24,7,904,461,493,3,1,111,503
"CHENANGO","MIDDLE/HIGH","FEMALE",54,54,111,147,3,6,9,7,760,408,387,0,10,155,425
"CHENANGO","MIDDLE/HIGH","FEMALE",54,54,111,147,24,47,53,3,1605,869,895,12,32,265,1021
"CHENANGO","MIDDLE/HIGH","MALE",43,43,106,135,8,10,24,7,904,461,493,3,1,111,503
"CHENANGO","MIDDLE/HIGH","MALE",43,43,106,135,3,6,9,7,760,408,387,0,10,155,425
"CHENANGO","MIDDLE/HIGH","MALE",43,43,106,135,24,47,53,3,1605,869,895,12,32,265,1021
"CLINTON","ELEMENTARY","FEMALE",95,95,210,355,1,30,4,1,1125,582,585,0,6,158,670
"CLINTON","ELEMENTARY","FEMALE",95,95,210,355,15,29,52,8,1918,968,1055,7,1,368,870
"CLINTON","ELEMENTARY","FEMALE",95,95,210,355,21,20,18,7,1748,895,962,8,43,361,871
